filename,mu,ke,d0,max_psi,final_psi,max_Ec,final_Ec,lipschitz,is_stable
run_mu0.15000_ke0.00_d0155.0000.csv,0.15,0.0,155.0,1.0,0.4721006554151494,0.005885236181839121,0.005885236181839121,0.6752541233927962,True
run_mu0.15000_ke0.00_d0160.0000.csv,0.15,0.0,160.0,1.0,0.4721006554151494,0.005885236181839121,0.005885236181839121,0.6752541233927962,True
run_mu0.15000_ke0.10_d0140.0000.csv,0.15,0.1,140.0,1.0,0.4725469740368354,0.005887455184743355,0.005887455184743355,0.6750023217545439,True
run_mu0.15000_ke0.10_d0145.0000.csv,0.15,0.1,145.0,1.0,0.4725469740368354,0.005887455184743355,0.005887455184743355,0.6750023217545439,True
run_mu0.15000_ke0.10_d0149.9992.csv,0.15,0.1,149.9992314,1.0,0.4725469740368354,0.005887455184743355,0.005887455184743355,0.6750023217545439,True
run_mu0.15000_ke0.10_d0155.0000.csv,0.15,0.1,155.0,1.0,0.4725469740368354,0.005887455184743355,0.005887455184743355,0.6750023217545439,True
run_mu0.15000_ke0.10_d0160.0000.csv,0.15,0.1,160.0,1.0,0.4725469740368354,0.005887455184743355,0.005887455184743355,0.6750023217545439,True
run_mu0.15000_ke0.20_d0140.0000.csv,0.15,0.2,140.0,1.0,0.4729932926585194,0.0058896741876475825,0.0058896741876475825,0.6747507098546547,True
run_mu0.15000_ke0.20_d0145.0000.csv,0.15,0.2,145.0,1.0,0.4729932926585194,0.0058896741876475825,0.0058896741876475825,0.6747507098546547,True
run_mu0.15000_ke0.20_d0149.9992.csv,0.15,0.2,149.9992314,1.0,0.4729932926585194,0.0058896741876475825,0.0058896741876475825,0.6747507098546547,True
run_mu0.15000_ke0.20_d0155.0000.csv,0.15,0.2,155.0,1.0,0.4729932926585194,0.0058896741876475825,0.0058896741876475825,0.6747507098546547,True
run_mu0.15000_ke0.20_d0160.0000.csv,0.15,0.2,160.0,1.0,0.4729932926585194,0.0058896741876475825,0.0058896741876475825,0.6747507098546547,True
