"# Primal Logic Kernel Test: MU=0.12000000, KE=0.40"
"# Core: D0=155.0000000000, I3=6.4939394023, S=23.0983417165, F'(D0)=0.000129931830"
# Generated: 2025-11-26T06:07:53.909995
"# dt=0.01, t_end=5.0, n_steps=501"
# Control law: dψ/dt = -μ·ψ(t) + KE·e(t)

t,psi,gamma,Ec
1.6300000000000001,0.8238466676465942,0.0017669414258831857,0.004090555356517708
1.6400000000000001,0.8228651194111218,0.0017581067187537698,0.004105022203468356
1.6500000000000001,0.8218847136947035,0.001749316185160001,0.004119399565788373
1.6600000000000001,0.8209054493030105,0.0017405696042342008,0.004133687996518443
1.67,0.8199273250422637,0.0017318667562130298,0.004147888045285957
1.68,0.8189503397192379,0.0017232074224319647,0.004162000258326031
1.69,0.8179744921412646,0.0017145913853198048,0.0041760251785023985
1.7,0.8169997811162364,0.0017060184283932058,0.004189963345328174
1.71,0.8160262054526105,0.0016974883362512398,0.004203815294986485
1.72,0.8150537639594124,0.0016890008945699836,0.004217581560350986
1.73,0.8140824554462394,0.0016805558900971336,0.004231262671006235
1.74,0.8131122787232643,0.0016721531106466479,0.004244859153267957
1.75,0.812143232601239,0.0016637923450934147,0.00425837153020317
1.76,0.8111753158914978,0.0016554733833679476,0.004271800321650205
1.77,0.8102085274059615,0.001647196016451108,0.004285146044238583
1.78,0.8092428659571401,0.0016389600363688524,0.004298409211408787
1.79,0.808278330358137,0.0016307652361870083,0.0043115903334319
1.8,0.807314919422652,0.0016226114100060733,0.004324689917429133
1.81,0.8063526319649849,0.0016144983529560429,0.0043377084673912256
1.82,0.8053914668000387,0.0016064258611912627,0.004350646484197729
1.83,0.8044314227433235,0.0015983937318853063,0.004363504465636174
1.84,0.803472498610959,0.0015904017632258798,0.004376282906421118
1.85,0.8025146932196788,0.0015824497544097505,0.004388982298213075
1.86,0.8015580053868329,0.0015745375056377018,0.004401603129637333
1.87,0.8006024339303912,0.0015666648181095132,0.004414145886302649
1.8800000000000001,0.7996479776689471,0.0015588314940189656,0.004426611050819838
1.8900000000000001,0.7986946354217205,0.0015510373365488707,0.004438999102820242
1.9000000000000001,0.7977424060085606,0.0015432821498661264,0.004451310518974084
1.9100000000000001,0.7967912882499498,0.0015355657391167958,0.004463545773008718
1.92,0.7958412809670063,0.0015278879104212119,0.0044757053357267545
1.93,0.7948923829814877,0.0015202484708691057,0.004487789675024086
1.94,0.7939445931157934,0.0015126472285147603,0.004499799255907795
1.95,0.7929979101929685,0.0015050839923721865,0.004511734540513955
1.96,0.7920523330367064,0.0014975585724103257,0.004523595988125322
1.97,0.791107860471352,0.001490070779548274,0.004535384055188915
1.98,0.7901644913219045,0.0014826204256505326,0.004547099195333491
1.99,0.7892222244140208,0.00147520732352228,0.004558741859386912
2.0,0.7882810585740181,0.0014678312869046686,0.004570312495393405
2.0100000000000002,0.7873409926288769,0.0014604921304701452,0.004581811548630715
2.02,0.7864020254062442,0.0014531896698177945,0.0045932394616271565
2.0300000000000002,0.785464155734436,0.0014459237214687055,0.004604596674178555
2.04,0.7845273824424405,0.001438694102861362,0.004615883623365086
2.05,0.783591704359921,0.0014315006323470552,0.004627100743568017
2.06,0.7826571203172185,0.00142434312918532,0.004638248466486335
2.07,0.7817236291453545,0.0014172214135393935,0.0046493272211532806
2.08,0.7807912296760343,0.0014101353064716964,0.004660337433952777
