KE,avg_error,lambda_val,lipschitz,max_error,memory_mode,overshoot_rad,rmse,setpoint_freq,settling_time_s,stable,steps,torque_max,torque_violation_rate,torque_violations,total_energy_J
0.3,0.999922,0.25,200.001,1.000885,long,0.0,0.999927,1.0,,False,5000,100.0,0.0,0,0.0819
0.4,0.999896,0.25,200.0012,1.00118,long,0.0,0.999902,1.0,,False,5000,100.0,0.0,0,0.1456
0.5,0.999871,0.25,200.0016,1.001475,long,0.0,0.999878,1.0,,False,5000,100.0,0.0,0,0.2274
0.2,0.999947,0.35,200.0006,1.000563,long,0.0,0.99995,1.0,,False,5000,100.0,0.0,0,0.0335
0.3,0.99992,0.35,200.0009,1.000844,long,0.0,0.999925,1.0,,False,5000,100.0,0.0,0,0.0754
0.4,0.999894,0.35,200.0012,1.001125,long,0.0,0.999899,1.0,,False,5000,100.0,0.0,0,0.1339
0.5,0.999867,0.35,200.0016,1.001406,long,0.0,0.999874,1.0,,False,5000,100.0,0.0,0,0.2092
0.2,0.999944,0.1,200.0007,1.000635,adaptive,0.0,0.999947,1.0,,False,5000,100.0,0.0,0,0.0443
0.3,0.999916,0.1,200.001,1.000952,adaptive,0.0,0.99992,1.0,,False,5000,100.0,0.0,0,0.0996
0.4,0.999888,0.1,200.0013,1.001269,adaptive,0.0,0.999894,1.0,,False,5000,100.0,0.0,0,0.177
0.5,0.99986,0.1,200.0017,1.001586,adaptive,0.0,0.999867,1.0,,False,5000,100.0,0.0,0,0.2764
0.2,0.999946,0.16905,200.0007,1.000614,adaptive,0.0,0.999949,1.0,,False,5000,100.0,0.0,0,0.0399
0.3,0.999919,0.16905,200.001,1.00092,adaptive,0.0,0.999923,1.0,,False,5000,100.0,0.0,0,0.0898
0.4,0.999892,0.16905,200.0013,1.001227,adaptive,0.0,0.999898,1.0,,False,5000,100.0,0.0,0,0.1595
0.5,0.999865,0.16905,200.0017,1.001533,adaptive,0.0,0.999873,1.0,,False,5000,100.0,0.0,0,0.2491
0.2,0.999946,0.25,200.0006,1.00059,adaptive,0.0,0.999949,1.0,,False,5000,100.0,0.0,0,0.0364
0.3,0.99992,0.25,200.001,1.000885,adaptive,0.0,0.999924,1.0,,False,5000,100.0,0.0,0,0.0819
0.4,0.999893,0.25,200.0012,1.00118,adaptive,0.0,0.999899,1.0,,False,5000,100.0,0.0,0,0.1456
0.5,0.999866,0.25,200.0016,1.001475,adaptive,0.0,0.999874,1.0,,False,5000,100.0,0.0,0,0.2274
0.2,0.999945,0.35,200.0006,1.000563,adaptive,0.0,0.999948,1.0,,False,5000,100.0,0.0,0,0.0335
0.3,0.999918,0.35,200.0009,1.000844,adaptive,0.0,0.999922,1.0,,False,5000,100.0,0.0,0,0.0754
0.4,0.99989,0.35,200.0012,1.001125,adaptive,0.0,0.999896,1.0,,False,5000,100.0,0.0,0,0.1339
0.5,0.999863,0.35,200.0016,1.001406,adaptive,0.0,0.99987,1.0,,False,5000,100.0,0.0,0,0.2092
