# MU=0.20000 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000153720000
# t,psi,gamma,Ec
1.80,2.1289735737,0.8207085216,-0.2921384616
1.81,2.1319624317,0.8251112143,-0.2971844747
1.82,2.1349095618,0.8295097461,-0.3022826808
1.83,2.1378152809,0.8339041040,-0.3074332052
1.84,2.1406799143,0.8382942753,-0.3126361710
1.85,2.1435037960,0.8426802480,-0.3178916994
1.86,2.1462872681,0.8470620100,-0.3231999101
1.87,2.1490306812,0.8514395499,-0.3285609207
1.88,2.1517343942,0.8558128564,-0.3339748472
1.89,2.1543987743,0.8601819186,-0.3394418038
1.90,2.1570241967,0.8645467260,-0.3449619031
1.91,2.1596110449,0.8689072683,-0.3505352561
1.92,2.1621597104,0.8732635356,-0.3561619720
1.93,2.1646705929,0.8776155182,-0.3618421589
1.94,2.1671440998,0.8819632067,-0.3675759229
1.95,2.1695806467,0.8863065923,-0.3733633689
1.96,2.1719806569,0.8906456661,-0.3792046003
1.97,2.1743445616,0.8949804196,-0.3850997194
1.98,2.1766727997,0.8993108448,-0.3910488267
1.99,2.1789658177,0.9036369336,-0.3970520218
2.00,2.1812240700,0.9079586787,-0.4031094029
2.01,2.1834480182,0.9122760725,-0.4092210671
2.02,2.1856381317,0.9165891081,-0.4153871102
2.03,2.1877948874,0.9208977787,-0.4216076272
2.04,2.1899187692,0.9252020777,-0.4278827117
2.05,2.1920102687,0.9295019989,-0.4342124565
2.06,2.1940698846,0.9337975363,-0.4405969535
2.07,2.1960981228,0.9380886842,-0.4470362936
2.08,2.1980954963,0.9423754370,-0.4535305668
2.09,2.2000625253,0.9466577895,-0.4600798625
2.10,2.2019997368,0.9509357367,-0.4666842690
2.11,2.2039076649,0.9552092739,-0.4733438744
2.12,2.2057868503,0.9594783966,-0.4800587656
2.13,2.2076378408,0.9637431004,-0.4868290292
2.14,2.2094611907,0.9680033814,-0.4936547513
2.15,2.2112574610,0.9722592357,-0.5005360173
2.16,2.2130272193,0.9765106598,-0.5074729123
2.17,2.2147710396,0.9807576503,-0.5144655210
2.18,2.2164895026,0.9850002041,-0.5215139277
2.19,2.2181831951,0.9892383183,-0.5286182164
2.20,2.2198527101,0.9934719903,-0.5357784708
2.21,2.2214986471,0.9977012176,-0.5429947747
