# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
2.25,2.3266313043,1.0186728788,-0.6048926109
2.26,2.3286377712,1.0228975597,-0.6128294104
2.27,2.3306237856,1.0271177941,-0.6208265321
2.28,2.3325899837,1.0313335815,-0.6288840713
2.29,2.3345370077,1.0355449213,-0.6370021237
2.30,2.3364655054,1.0397518132,-0.6451807850
2.31,2.3383761305,1.0439542571,-0.6534201515
2.32,2.3402695419,1.0481522530,-0.6617203194
2.33,2.3421464041,1.0523458011,-0.6700813858
2.34,2.3440073873,1.0565349019,-0.6785034480
2.35,2.3458531666,1.0607195560,-0.6869866037
2.36,2.3476844226,1.0648997640,-0.6955309515
2.37,2.3495018409,1.0690755269,-0.7041365904
2.38,2.3513061124,1.0732468458,-0.7128036201
2.39,2.3530979328,1.0774137220,-0.7215321411
2.40,2.3548780026,1.0815761569,-0.7303222548
2.41,2.3566470275,1.0857341520,-0.7391740632
2.42,2.3584057176,1.0898877091,-0.7480876694
2.43,2.3601547878,1.0940368301,-0.7570631775
2.44,2.3618949575,1.0981815172,-0.7661006926
2.45,2.3636269507,1.1023217725,-0.7752003208
2.46,2.3653514955,1.1064575984,-0.7843621693
2.47,2.3670693247,1.1105889975,-0.7935863467
2.48,2.3687811751,1.1147159725,-0.8028729628
2.49,2.3704877876,1.1188385262,-0.8122221286
2.50,2.3721899072,1.1229566616,-0.8216339566
2.51,2.3738882829,1.1270703819,-0.8311085606
2.52,2.3755836675,1.1311796904,-0.8406460560
2.53,2.3772768176,1.1352845906,-0.8502465596
2.54,2.3789684933,1.1393850860,-0.8599101901
2.55,2.3806594588,1.1434811804,-0.8696370676
2.56,2.3823504811,1.1475728776,-0.8794273139
2.57,2.3840423313,1.1516601817,-0.8892810526
2.58,2.3857357833,1.1557430969,-0.8991984093
2.59,2.3874316145,1.1598216275,-0.9091795113
2.60,2.3891306054,1.1638957779,-0.9192244878
2.61,2.3908335395,1.1679655527,-0.9293334702
2.62,2.3925412032,1.1720309565,-0.9395065918
