# MU=0.16905 KE=0.50000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
2.48,0.6595393887,0.0011539421,0.0048257707
2.49,0.6584302071,0.0011481724,0.0048333306
2.50,0.6573228717,0.0011424315,0.0048408400
2.51,0.6562173795,0.0011367194,0.0048482994
2.52,0.6551137277,0.0011310358,0.0048557090
2.53,0.6540119131,0.0011253806,0.0048630691
2.54,0.6529119328,0.0011197537,0.0048703801
2.55,0.6518137840,0.0011141549,0.0048776423
2.56,0.6507174636,0.0011085841,0.0048848561
2.57,0.6496229686,0.0011030412,0.0048920217
2.58,0.6485302962,0.0010975260,0.0048991395
2.59,0.6474394434,0.0010920384,0.0049062097
2.60,0.6463504072,0.0010865782,0.0049132328
2.61,0.6452631847,0.0010811453,0.0049202091
2.62,0.6441777730,0.0010757396,0.0049271388
2.63,0.6430941692,0.0010703609,0.0049340222
2.64,0.6420123703,0.0010650091,0.0049408597
2.65,0.6409323734,0.0010596840,0.0049476515
2.66,0.6398541757,0.0010543856,0.0049543981
2.67,0.6387777741,0.0010491137,0.0049610996
2.68,0.6377031659,0.0010438681,0.0049677563
2.69,0.6366303480,0.0010386488,0.0049743687
2.70,0.6355593176,0.0010334555,0.0049809369
2.71,0.6344900719,0.0010282883,0.0049874613
2.72,0.6334226079,0.0010231468,0.0049939422
2.73,0.6323569227,0.0010180311,0.0050003797
2.74,0.6312930135,0.0010129409,0.0050067744
2.75,0.6302308773,0.0010078762,0.0050131263
2.76,0.6291705114,0.0010028368,0.0050194359
2.77,0.6281119128,0.0009978226,0.0050257033
2.78,0.6270550788,0.0009928335,0.0050319289
2.79,0.6260000063,0.0009878694,0.0050381130
2.80,0.6249466927,0.0009829300,0.0050442558
2.81,0.6238951349,0.0009780154,0.0050503576
2.82,0.6228453303,0.0009731253,0.0050564186
2.83,0.6217972759,0.0009682597,0.0050624392
2.84,0.6207509689,0.0009634184,0.0050684197
2.85,0.6197064064,0.0009586013,0.0050743602
2.86,0.6186635858,0.0009538083,0.0050802610
2.87,0.6176225040,0.0009490392,0.0050861225
2.88,0.6165831584,0.0009442940,0.0050919449
2.89,0.6155455460,0.0009395726,0.0050977284
2.90,0.6145096641,0.0009348747,0.0051034733
2.91,0.6134755099,0.0009302003,0.0051091798
2.92,0.6124430806,0.0009255493,0.0051148483
2.93,0.6114123733,0.0009209216,0.0051204789
2.94,0.6103833853,0.0009163170,0.0051260720
2.95,0.6093561138,0.0009117354,0.0051316277
2.96,0.6083305559,0.0009071767,0.0051371463
2.97,0.6073067090,0.0009026408,0.0051426281
2.98,0.6062845702,0.0008981276,0.0051480733
2.99,0.6052641368,0.0008936370,0.0051534822
3.00,0.6042454059,0.0008891688,0.0051588550
3.01,0.6032283749,0.0008847230,0.0051641919
3.02,0.6022130410,0.0008802993,0.0051694931
3.03,0.6011994013,0.0008758978,0.0051747590
3.04,0.6001874532,0.0008715184,0.0051799898
3.05,0.5991771939,0.0008671608,0.0051851856
3.06,0.5981686207,0.0008628250,0.0051903467
3.07,0.5971617308,0.0008585108,0.0051954734
3.08,0.5961565214,0.0008542183,0.0052005659
3.09,0.5951529899,0.0008499472,0.0052056244
3.10,0.5941511335,0.0008456975,0.0052106491
3.11,0.5931509495,0.0008414690,0.0052156403
3.12,0.5921524352,0.0008372616,0.0052205982
3.13,0.5911555878,0.0008330753,0.0052255229
3.14,0.5901604046,0.0008289099,0.0052304148
3.15,0.5891668830,0.0008247654,0.0052352741
3.16,0.5881750202,0.0008206416,0.0052401009
3.17,0.5871848136,0.0008165384,0.0052448955
3.18,0.5861962603,0.0008124557,0.0052496581
3.19,0.5852093578,0.0008083934,0.0052543889
3.20,0.5842241034,0.0008043514,0.0052590881
3.21,0.5832404943,0.0008003297,0.0052637559
3.22,0.5822585279,0.0007963280,0.0052683926
3.23,0.5812782015,0.0007923464,0.0052729983
3.24,0.5802995124,0.0007883846,0.0052775733
3.25,0.5793224580,0.0007844427,0.0052821178
3.26,0.5783470356,0.0007805205,0.0052866319
3.27,0.5773732426,0.0007766179,0.0052911159
3.28,0.5764010762,0.0007727348,0.0052955699
3.29,0.5754305338,0.0007688711,0.0052999943
3.30,0.5744616129,0.0007650268,0.0053043891
3.31,0.5734943107,0.0007612016,0.0053087545
3.32,0.5725286245,0.0007573956,0.0053130908
3.33,0.5715645519,0.0007536087,0.0053173982
3.34,0.5706020900,0.0007498406,0.0053216768
3.35,0.5696412364,0.0007460914,0.0053259268
3.36,0.5686819884,0.0007423610,0.0053301485
3.37,0.5677243433,0.0007386492,0.0053343420
3.38,0.5667682985,0.0007349559,0.0053385075
3.39,0.5658138515,0.0007312811,0.0053426452
3.40,0.5648609996,0.0007276247,0.0053467552
