# MU=0.8 KE=0
# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.00061488
# t,psi,gamma,Ec
2.06,1.05595,0.814934,-0.0954332
2.07,1.05348,0.81831,-0.0971194
2.08,1.051,0.821676,-0.0988214
2.09,1.0485,0.825033,-0.100539
2.1,1.04598,0.828381,-0.102273
2.11,1.04346,0.83172,-0.104023
2.12,1.04092,0.835049,-0.105788
2.13,1.03836,0.838369,-0.10757
2.14,1.03579,0.84168,-0.109367
2.15,1.03322,0.844981,-0.111181
2.16,1.03063,0.848273,-0.11301
2.17,1.02803,0.851555,-0.114856
2.18,1.02542,0.854828,-0.116717
2.19,1.02279,0.858091,-0.118595
2.2,1.02017,0.861345,-0.120488
2.21,1.01753,0.864589,-0.122398
2.22,1.01488,0.867824,-0.124324
2.23,1.01223,0.871048,-0.126266
2.24,1.00957,0.874263,-0.128224
2.25,1.0069,0.877469,-0.130198
2.26,1.00422,0.880664,-0.132189
2.27,1.00155,0.88385,-0.134196
2.28,0.998861,0.887026,-0.136219
2.29,0.996173,0.890192,-0.138258
2.3,0.993481,0.893348,-0.140314
2.31,0.990786,0.896494,-0.142386
2.32,0.988088,0.899631,-0.144474
2.33,0.985388,0.902757,-0.146579
2.34,0.982687,0.905874,-0.148701
2.35,0.979985,0.90898,-0.150839
2.36,0.977282,0.912077,-0.152993
2.37,0.974579,0.915163,-0.155164
2.38,0.971877,0.91824,-0.157351
2.39,0.969177,0.921306,-0.159555
2.4,0.966478,0.924362,-0.161776
2.41,0.963782,0.927409,-0.164013
2.42,0.961089,0.930445,-0.166267
2.43,0.958399,0.933471,-0.168538
2.44,0.955713,0.936487,-0.170826
2.45,0.953033,0.939493,-0.173131
2.46,0.950357,0.942489,-0.175452
2.47,0.947688,0.945475,-0.17779
2.48,0.945025,0.948451,-0.180146
2.49,0.942369,0.951416,-0.182518
2.5,0.939721,0.954372,-0.184907
2.51,0.937081,0.957318,-0.187314
2.52,0.934449,0.960253,-0.189737
2.53,0.931827,0.963178,-0.192178
2.54,0.929216,0.966094,-0.194637
2.55,0.926614,0.968999,-0.197112
2.56,0.924024,0.971894,-0.199605
2.57,0.921446,0.974779,-0.202115
2.58,0.91888,0.977654,-0.204643
2.59,0.916327,0.98052,-0.207188
2.6,0.913787,0.983375,-0.209751
2.61,0.911261,0.98622,-0.212332
2.62,0.908751,0.989056,-0.21493
2.63,0.906255,0.991881,-0.217546
2.64,0.903775,0.994697,-0.22018
2.65,0.901312,0.997503,-0.222832
2.66,0.898866,1.0003,-0.225502
2.67,0.896437,1.00308,-0.22819
2.68,0.894026,1.00586,-0.230896
2.69,0.891635,1.00863,-0.23362
2.7,0.889262,1.01139,-0.236362
2.71,0.88691,1.01413,-0.239123
2.72,0.884578,1.01687,-0.241903
2.73,0.882267,1.0196,-0.244701
2.74,0.879978,1.02232,-0.247517
2.75,0.877712,1.02503,-0.250352
2.76,0.875468,1.02773,-0.253206
2.77,0.873247,1.03042,-0.256079
2.78,0.871051,1.0331,-0.258971
2.79,0.868879,1.03577,-0.261881
2.8,0.866732,1.03844,-0.264811
2.81,0.864612,1.04109,-0.26776
2.82,0.862517,1.04374,-0.270729
2.83,0.86045,1.04637,-0.273717
2.84,0.858409,1.049,-0.276724
2.85,0.856397,1.05162,-0.279751
2.86,0.854414,1.05423,-0.282797
2.87,0.85246,1.05683,-0.285864
2.88,0.850535,1.05942,-0.28895
2.89,0.848641,1.06201,-0.292057
2.9,0.846778,1.06458,-0.295183
2.91,0.844947,1.06715,-0.29833
2.92,0.843147,1.06971,-0.301497
2.93,0.84138,1.07226,-0.304685
2.94,0.839646,1.0748,-0.307893
2.95,0.837946,1.07734,-0.311122
2.96,0.83628,1.07986,-0.314372
2.97,0.834649,1.08238,-0.317643
2.98,0.833053,1.08489,-0.320935
2.99,0.831493,1.0874,-0.324248
3,0.82997,1.08989,-0.327582
3.01,0.828483,1.09238,-0.330938
3.02,0.827035,1.09487,-0.334315
3.03,0.825624,1.09734,-0.337715
3.04,0.824252,1.09981,-0.341136
3.05,0.822919,1.10227,-0.344579
3.06,0.821626,1.10472,-0.348044
3.07,0.820373,1.10717,-0.351532
3.08,0.819161,1.10961,-0.355042
3.09,0.817991,1.11205,-0.358575
3.1,0.816862,1.11447,-0.36213
3.11,0.815775,1.1169,-0.365708
3.12,0.814732,1.11931,-0.36931
3.13,0.813731,1.12172,-0.372934
3.14,0.812775,1.12413,-0.376582
3.15,0.811863,1.12652,-0.380254
3.16,0.810996,1.12892,-0.383949
3.17,0.810175,1.1313,-0.387668
3.18,0.809399,1.13369,-0.391411
3.19,0.80867,1.13606,-0.395178
3.2,0.807988,1.13844,-0.398969
3.21,0.807353,1.1408,-0.402786
3.22,0.806766,1.14317,-0.406626
3.23,0.806228,1.14552,-0.410492
3.24,0.805739,1.14788,-0.414383
3.25,0.805299,1.15023,-0.418299
3.26,0.804908,1.15257,-0.42224
3.27,0.804569,1.15492,-0.426207
3.28,0.80428,1.15725,-0.4302
3.29,0.804042,1.15959,-0.434219
3.3,0.803856,1.16192,-0.438263
3.31,0.803723,1.16425,-0.442335
3.32,0.803642,1.16657,-0.446433
3.33,0.803614,1.16889,-0.450557
3.34,0.80364,1.17121,-0.454709
3.35,0.80372,1.17353,-0.458887
3.36,0.803854,1.17584,-0.463094
3.37,0.804044,1.17815,-0.467327
3.38,0.804288,1.18046,-0.471589
3.39,0.804589,1.18277,-0.475878
3.4,0.804946,1.18508,-0.480196
3.41,0.805359,1.18738,-0.484542
3.42,0.80583,1.18969,-0.488917
3.43,0.806358,1.19199,-0.49332
3.44,0.806944,1.19429,-0.497753
3.45,0.807588,1.19659,-0.502215
3.46,0.808291,1.19889,-0.506706
3.47,0.809053,1.20119,-0.511228
3.48,0.809875,1.20349,-0.515779
3.49,0.810757,1.20578,-0.52036
3.5,0.811699,1.20808,-0.524972
3.51,0.812701,1.21038,-0.529615
3.52,0.813765,1.21268,-0.534289
3.53,0.814891,1.21498,-0.538993
3.54,0.816078,1.21728,-0.54373
3.55,0.817327,1.21958,-0.548497
3.56,0.818639,1.22188,-0.553297
3.57,0.820014,1.22419,-0.558129
3.58,0.821452,1.22649,-0.562994
3.59,0.822954,1.2288,-0.567891
3.6,0.824519,1.23111,-0.572821
3.61,0.82615,1.23342,-0.577784
3.62,0.827844,1.23573,-0.582781
3.63,0.829604,1.23805,-0.587811
3.64,0.831429,1.24036,-0.592875
3.65,0.833319,1.24268,-0.597974
3.66,0.835276,1.24501,-0.603107
3.67,0.837299,1.24733,-0.608275
3.68,0.839388,1.24966,-0.613478
3.69,0.841544,1.252,-0.618717
3.7,0.843767,1.25433,-0.623991
3.71,0.846058,1.25667,-0.629301
3.72,0.848416,1.25902,-0.634647
3.73,0.850842,1.26137,-0.64003
3.74,0.853337,1.26372,-0.64545
3.75,0.8559,1.26608,-0.650906
3.76,0.858532,1.26844,-0.6564
3.77,0.861233,1.2708,-0.661932
3.78,0.864003,1.27318,-0.667502
3.79,0.866842,1.27555,-0.67311
3.8,0.869752,1.27793,-0.678756
3.81,0.872731,1.28032,-0.684442
3.82,0.87578,1.28271,-0.690166
3.83,0.8789,1.28511,-0.69593
3.84,0.882091,1.28752,-0.701734
3.85,0.885352,1.28993,-0.707578
3.86,0.888685,1.29234,-0.713463
3.87,0.892088,1.29477,-0.719388
3.88,0.895563,1.2972,-0.725355
3.89,0.89911,1.29963,-0.731362
3.9,0.902728,1.30208,-0.737412
3.91,0.906419,1.30452,-0.743504
3.92,0.910181,1.30698,-0.749638
3.93,0.914016,1.30944,-0.755815
3.94,0.917923,1.31192,-0.762034
3.95,0.921903,1.31439,-0.768298
3.96,0.925955,1.31688,-0.774605
3.97,0.93008,1.31937,-0.780956
3.98,0.934278,1.32187,-0.787352
3.99,0.938549,1.32438,-0.793792
4,0.942894,1.3269,-0.800278
4.01,0.947311,1.32943,-0.806809
4.02,0.951802,1.33196,-0.813386
4.03,0.956366,1.3345,-0.820009
4.04,0.961004,1.33705,-0.826679
4.05,0.965716,1.33961,-0.833395
4.06,0.970501,1.34218,-0.840159
4.07,0.97536,1.34475,-0.846971
4.08,0.980292,1.34734,-0.853831
4.09,0.985298,1.34993,-0.860739
4.1,0.990379,1.35253,-0.867696
4.11,0.995533,1.35514,-0.874702
4.12,1.00076,1.35776,-0.881757
4.13,1.00606,1.36039,-0.888863
4.14,1.01144,1.36303,-0.896019
4.15,1.01689,1.36568,-0.903225
4.16,1.02241,1.36833,-0.910483
4.17,1.02801,1.371,-0.917792
4.18,1.03368,1.37367,-0.925152
4.19,1.03943,1.37636,-0.932565
4.2,1.04525,1.37905,-0.940031
4.21,1.05114,1.38176,-0.94755
4.22,1.05711,1.38447,-0.955122
4.23,1.06315,1.38719,-0.962748
4.24,1.06926,1.38993,-0.970428
4.25,1.07545,1.39267,-0.978163
4.26,1.08171,1.39542,-0.985952
4.27,1.08804,1.39818,-0.993798
4.28,1.09445,1.40095,-1.0017
4.29,1.10093,1.40373,-1.00966
4.3,1.10748,1.40652,-1.01767
4.31,1.11411,1.40932,-1.02574
4.32,1.12081,1.41213,-1.03387
4.33,1.12758,1.41495,-1.04206
4.34,1.13442,1.41778,-1.0503
4.35,1.14134,1.42062,-1.0586
4.36,1.14833,1.42347,-1.06697
