# MU=0.15000 KE=0.30000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000115290000
# t,psi,gamma,Ec
1.73,2.2274886675,0.7948312211,-0.2510767383
1.74,2.2315858670,0.7992908071,-0.2554339799
1.75,2.2356392787,0.8037462841,-0.2598344504
1.76,2.2396491366,0.8081976378,-0.2642781854
1.77,2.2436156835,0.8126448545,-0.2687652185
1.78,2.2475391713,0.8170879208,-0.2732955806
1.79,2.2514198608,0.8215268236,-0.2778693004
1.80,2.2552580215,0.8259615503,-0.2824864045
1.81,2.2590539320,0.8303920887,-0.2871469170
1.82,2.2628078797,0.8348184268,-0.2918508601
1.83,2.2665201606,0.8392405530,-0.2965982536
1.84,2.2701910796,0.8436584561,-0.3013891153
1.85,2.2738209500,0.8480721252,-0.3062234612
1.86,2.2774100942,0.8524815498,-0.3111013049
1.87,2.2809588427,0.8568867196,-0.3160226583
1.88,2.2844675348,0.8612876247,-0.3209875313
1.89,2.2879365183,0.8656842555,-0.3259959319
1.90,2.2913661494,0.8700766028,-0.3310478664
1.91,2.2947567928,0.8744646574,-0.3361433393
1.92,2.2981088212,0.8788484109,-0.3412823532
1.93,2.3014226161,0.8832278547,-0.3464649092
1.94,2.3046985668,0.8876029808,-0.3516910066
1.95,2.3079370711,0.8919737813,-0.3569606435
1.96,2.3111385348,0.8963402488,-0.3622738159
1.97,2.3143033718,0.9007023759,-0.3676305188
1.98,2.3174320040,0.9050601557,-0.3730307455
1.99,2.3205248615,0.9094135814,-0.3784744880
2.00,2.3235823819,0.9137626466,-0.3839617370
2.01,2.3266050109,0.9181073451,-0.3894924818
2.02,2.3295932022,0.9224476709,-0.3950667106
2.03,2.3325474168,0.9267836184,-0.4006844103
2.04,2.3354681237,0.9311151820,-0.4063455667
2.05,2.3383557994,0.9354423565,-0.4120501646
2.06,2.3412109281,0.9397651370,-0.4177981876
2.07,2.3440340012,0.9440835187,-0.4235896186
2.08,2.3468255178,0.9483974971,-0.4294244392
2.09,2.3495859842,0.9527070680,-0.4353026305
2.10,2.3523159142,0.9570122272,-0.4412241726
2.11,2.3550158287,0.9613129709,-0.4471890448
2.12,2.3576862556,0.9656092955,-0.4531972257
2.13,2.3603277303,0.9699011975,-0.4592486934
2.14,2.3629407950,0.9741886739,-0.4653434253
2.15,2.3655259987,0.9784717215,-0.4714813980
2.16,2.3680838976,0.9827503376,-0.4776625881
2.17,2.3706150547,0.9870245197,-0.4838869714
2.18,2.3731200395,0.9912942652,-0.4901545233
2.19,2.3755994285,0.9955595721,-0.4964652191
2.20,2.3780538046,0.9998204383,-0.5028190336
2.21,2.3804837572,1.0040768621,-0.5092159416
2.22,2.3828898824,1.0083288418,-0.5156559174
2.23,2.3852727825,1.0125763760,-0.5221389356
2.24,2.3876330663,1.0168194634,-0.5286649704
2.25,2.3899713485,1.0210581031,-0.5352339962
2.26,2.3922882504,1.0252922940,-0.5418459874
2.27,2.3945843991,1.0295220356,-0.5485009183
2.28,2.3968604277,1.0337473272,-0.5551987638
2.29,2.3991169755,1.0379681686,-0.5619394986
2.30,2.4013546874,1.0421845595,-0.5687230979
2.31,2.4035742141,1.0463965000,-0.5755495371
2.32,2.4057762122,1.0506039901,-0.5824187922
2.33,2.4079613437,1.0548070302,-0.5893308394
2.34,2.4101302762,1.0590056208,-0.5962856555
2.35,2.4122836829,1.0631997625,-0.6032832179
2.36,2.4144222420,1.0673894561,-0.6103235045
2.37,2.4165466375,1.0715747026,-0.6174064938
2.38,2.4186575583,1.0757555031,-0.6245321654
2.39,2.4207556984,1.0799318588,-0.6317004991
2.40,2.4228417569,1.0841037712,-0.6389114761
2.41,2.4249164381,1.0882712419,-0.6461650780
2.42,2.4269804507,1.0924342725,-0.6534612877
2.43,2.4290345086,1.0965928650,-0.6608000888
2.44,2.4310793303,1.1007470213,-0.6681814662
2.45,2.4331156387,1.1048967436,-0.6756054057
2.46,2.4351441616,1.1090420342,-0.6830718944
2.47,2.4371656309,1.1131828956,-0.6905809206
2.48,2.4391807831,1.1173193303,-0.6981324737
2.49,2.4411903588,1.1214513410,-0.7057265445
2.50,2.4431951029,1.1255789306,-0.7133631254
2.51,2.4451957643,1.1297021021,-0.7210422099
2.52,2.4471930961,1.1338208586,-0.7287637932
2.53,2.4491878550,1.1379352033,-0.7365278718
2.54,2.4511808018,1.1420451397,-0.7443344441
2.55,2.4531727009,1.1461506712,-0.7521835098
2.56,2.4551643203,1.1502518015,-0.7600750705
2.57,2.4571564317,1.1543485343,-0.7680091296
