config_id,alpha,lambda,field_strength,lipschitz,is_stable,max_psi,final_error,total_energy,field_work
field_alpha0.5200_lambda0.1187_strength5.0,0.52,0.11875,5.0,0.5639279272232544,True,29.965293997367702,-3.362424660739169,59.09321581885979,38.490017945975055
field_alpha0.5200_lambda0.1187_strength10.0,0.52,0.11875,10.0,0.5699334174019796,True,59.51324857920291,-6.623329048400405,114.61731923329766,76.98003589195011
field_alpha0.5200_lambda0.1200_strength0.0,0.52,0.12,0.0,0.1331869082548019,True,1.0,-0.1010798151791514,3.55940833453022,0.0
field_alpha0.5200_lambda0.1200_strength0.1,0.52,0.12,0.1,0.2110646103664936,True,1.0318914413115186,-0.16620192625718008,4.66835433456123,0.769800358919501
field_alpha0.5200_lambda0.1200_strength0.5,0.52,0.12,0.5,0.46820990645661054,True,3.3698457914696895,-0.42669037056929426,9.10413833468527,3.8490017945975055
field_alpha0.5200_lambda0.1200_strength1.0,0.52,0.12,1.0,0.518993568882489,True,6.315778377530945,-0.7523009259594367,14.648868334840316,7.698003589195011
field_alpha0.5200_lambda0.1200_strength2.0,0.52,0.12,2.0,0.5468143693964725,True,12.212471159185512,-1.4035220367397239,25.73832833515043,15.396007178390022
field_alpha0.5200_lambda0.1200_strength5.0,0.52,0.12,5.0,0.5643666120683407,True,29.906577427740963,-3.357185369080581,59.00670833608072,38.490017945975055
field_alpha0.5200_lambda0.1200_strength10.0,0.52,0.12,10.0,0.570369331869226,True,59.398013996844185,-6.613290922982008,114.45400833763125,76.98003589195011
field_alpha0.5250_lambda0.1100_strength0.0,0.525,0.11,0.0,0.12913731867067937,True,1.0,-0.10452973427100383,3.6361482567057344,0.0
field_alpha0.5250_lambda0.1100_strength0.1,0.525,0.11,0.1,0.20964366536938386,True,1.0598692146049777,-0.17039645455475616,4.757022995584494,0.769800358919501
field_alpha0.5250_lambda0.1100_strength0.5,0.525,0.11,0.5,0.46456041311421975,True,3.4322687513135683,-0.43386333568976615,9.240521951099538,3.8490017945975055
field_alpha0.5250_lambda0.1100_strength1.0,0.525,0.11,1.0,0.5154109189956342,True,6.421944172768214,-0.7631969371085284,14.844895645493331,7.698003589195011
field_alpha0.5250_lambda0.1100_strength2.0,0.525,0.11,2.0,0.5433384355585622,True,12.406315519510832,-1.4218641399460514,26.053643034280917,15.396007178390022
field_alpha0.5250_lambda0.1100_strength5.0,0.525,0.11,5.0,0.5609820675695713,True,30.36370109295819,-3.397865748458624,59.67988520064367,38.490017945975055
field_alpha0.5250_lambda0.1100_strength10.0,0.525,0.11,10.0,0.5670204372934514,True,60.294002045746076,-6.691201762646243,115.72362214458164,76.98003589195011
field_alpha0.5250_lambda0.1113_strength0.0,0.525,0.11125,0.0,0.12969014612550403,True,1.0,-0.10407488333111076,3.626182429916039,0.0
field_alpha0.5250_lambda0.1113_strength0.1,0.525,0.11125,0.1,0.20978426479568613,True,1.056130798905651,-0.16984395648768844,4.745495490704305,0.769800358919501
field_alpha0.5250_lambda0.1113_strength0.5,0.525,0.11125,0.5,0.46503400412287216,True,3.4239494027190402,-0.4329202491139991,9.222747733857375,3.8490017945975055
field_alpha0.5250_lambda0.1113_strength1.0,0.525,0.11125,1.0,0.5158817627162607,True,6.407834684275054,-0.7617656148968871,14.819313037798706,7.698003589195011
field_alpha0.5250_lambda0.1113_strength2.0,0.525,0.11125,2.0,0.5437990542592794,True,12.380583052326632,-1.419456346462664,26.012443645681373,15.396007178390022
field_alpha0.5250_lambda0.1113_strength5.0,0.525,0.11125,5.0,0.5614335014773518,True,30.303040732360557,-3.3925285411599932,59.59183546932936,38.490017945975055
field_alpha0.5250_lambda0.1113_strength10.0,0.525,0.11125,10.0,0.5674659445386255,True,60.17535344102549,-6.680982198988883,115.55748850874275,76.98003589195011
field_alpha0.5250_lambda0.1125_strength0.0,0.525,0.1125,0.0,0.13024418949437577,True,1.0,-0.10362220130402718,3.616255746027811,0.0
field_alpha0.5250_lambda0.1125_strength0.1,0.525,0.1125,0.1,0.2099267339450028,True,1.0524155038498808,-0.16929387858874964,4.734010973494048,0.769800358919501
field_alpha0.5250_lambda0.1125_strength0.5,0.525,0.1125,0.5,0.4655068793340062,True,3.415673104868447,-0.4319805877276387,9.205031883358991,3.8490017945975055
field_alpha0.5250_lambda0.1125_strength1.0,0.525,0.1125,1.0,0.5163529433790381,True,6.393775135455703,-0.7603389741512512,14.793808020690179,7.698003589195011
field_alpha0.5250_lambda0.1125_strength2.0,0.525,0.1125,2.0,0.54425793707419,True,12.354978618947412,-1.417055746998474,25.971360295352543,15.396007178390022
field_alpha0.5250_lambda0.1125_strength5.0,0.525,0.1125,5.0,0.5618817437105249,True,30.242746025650906,-3.3872060655401426,59.50401711933961,38.490017945975055
field_alpha0.5250_lambda0.1125_strength10.0,0.525,0.1125,10.0,0.5679116424809536,True,60.05705315130893,-6.670789929776268,115.39177849265144,76.98003589195011
field_alpha0.5250_lambda0.1138_strength0.0,0.525,0.11375,0.0,0.13079948141571993,True,1.0,-0.10317167714724462,3.6063680275710546,0.0
field_alpha0.5250_lambda0.1138_strength0.1,0.525,0.11375,0.1,0.21007191976617087,True,1.048718947265455,-0.16874620894347178,4.722569253720186,0.769800358919501
field_alpha0.5250_lambda0.1138_strength0.5,0.525,0.11375,0.5,0.465977780830304,True,3.407448761685324,-0.4310443361283811,9.187374158316722,3.8490017945975055
field_alpha0.5250_lambda0.1138_strength1.0,0.525,0.11375,1.0,0.5168207497414428,True,6.37981107988721,-0.7589169951095177,14.768380289062392,7.698003589195011
field_alpha0.5250_lambda0.1138_strength2.0,0.525,0.11375,2.0,0.5447170541157986,True,12.329456846039085,-1.4146623130717912,25.930392550553748,15.396007178390022
field_alpha0.5250_lambda0.1138_strength5.0,0.525,0.11375,5.0,0.56233018206417,True,30.182632824791117,-3.381898266958611,59.416429335027786,38.490017945975055
field_alpha0.5250_lambda0.1138_strength10.0,0.525,0.11375,10.0,0.5683546251457612,True,59.93940620318589,-6.660624856769974,115.22649064248444,76.98003589195011
field_alpha0.5250_lambda0.1150_strength0.0,0.525,0.11499999999999999,0.0,0.13135605401081987,True,1.0,-0.10272329987652368,3.596519097942862,0.0
field_alpha0.5250_lambda0.1150_strength0.1,0.525,0.11499999999999999,0.1,0.21021982269260556,True,1.0450410267776813,-0.16820093569923456,4.711170142066516,0.769800358919501
field_alpha0.5250_lambda0.1150_strength0.5,0.525,0.11499999999999999,0.5,0.4664492916994772,True,3.399257162556263,-0.4301114789900789,9.16977431856114,3.8490017945975055
field_alpha0.5250_lambda0.1150_strength1.0,0.525,0.11499999999999999,1.0,0.5172879857640926,True,6.365907329753418,-0.7574996581036336,14.743029539179417,7.698003589195011
field_alpha0.5250_lambda0.1150_strength2.0,0.525,0.11499999999999999,2.0,0.545171664109076,True,12.304124353035998,-1.412276016330743,25.889539980415968,15.396007178390022
